cube_r,cube_g,cube_b,sphere_r,sphere_g,sphere_b,torus_r,torus_g,torus_b
0.8869178891181946,0.2956545948982239,0.5414272546768188,0.7731012105941772,0.7087929248809814,0.9369980692863464,0.027727656066417694,0.4278150498867035,0.03527320176362991
0.10097883641719818,0.7980719804763794,0.13340643048286438,0.4547356367111206,0.4509403705596924,0.6597446203231812,0.7907166481018066,0.6440461874008179,0.19996362924575806
0.05176517739892006,0.5095574259757996,0.9159960746765137,0.675123929977417,0.41492095589637756,0.3333258330821991,0.5240982174873352,0.4714352786540985,0.15240880846977234
0.15002939105033875,0.5329940319061279,0.4373965263366699,0.5198653340339661,0.2322843074798584,0.15474113821983337,0.3697143793106079,0.8283120393753052,0.7313669323921204
0.7870471477508545,0.9820730686187744,0.8855814337730408,0.0782509297132492,0.8976554870605469,0.8737219572067261,0.43554922938346863,0.43922656774520874,0.0060669854283332825
0.23138833045959473,0.30015823245048523,0.5532031059265137,0.42764919996261597,0.7719557881355286,0.4345088005065918,0.006728191394358873,0.3291443884372711,0.6300027966499329
0.5963977575302124,0.04111998900771141,0.7672973871231079,0.5419445633888245,0.14220979809761047,0.46351268887519836,0.42591941356658936,0.2999761998653412,0.6056666374206543
0.028212040662765503,0.8230292201042175,0.3614349365234375,0.15529115498065948,0.7591535449028015,0.9998958110809326,0.33753740787506104,0.8610013127326965,0.9888197779655457
0.025446690618991852,0.40213146805763245,0.683567464351654,0.7415569424629211,0.33435070514678955,0.9022234082221985,0.5956867933273315,0.8087764978408813,0.3036583364009857
0.6172022223472595,0.10330899804830551,0.36998188495635986,0.1665654331445694,0.64059978723526,0.9111911058425903,0.8215458393096924,0.007056860718876123,0.8531463742256165
0.7735763192176819,0.7398305535316467,0.08098602294921875,0.6774929761886597,0.9882050156593323,0.16909259557724,0.2735319137573242,0.18462353944778442,0.8531065583229065
0.23786473274230957,0.9691463708877563,0.9706955552101135,0.27633631229400635,0.27345460653305054,0.904681921005249,0.36620184779167175,0.2767616808414459,0.17664329707622528
0.2727861702442169,0.9752712845802307,0.9303831458091736,0.1602061688899994,0.22719378769397736,0.5425312519073486,0.028248419985175133,0.7554483413696289,0.3996877074241638
0.12065216153860092,0.13867458701133728,0.4652548134326935,0.45879602432250977,0.5659053325653076,0.775151789188385,0.40461266040802,0.08228857815265656,0.6796152591705322
0.36740878224372864,0.8526151776313782,0.13905902206897736,0.3418957591056824,0.9166384935379028,0.7601035833358765,0.2508613169193268,0.08551527559757233,0.33529195189476013
0.29119083285331726,0.8241166472434998,0.18975791335105896,0.9608243703842163,0.9679871797561646,0.865383505821228,0.19049327075481415,0.9833834767341614,0.27011045813560486
0.06904315948486328,0.6631569862365723,0.43983402848243713,0.06630520522594452,0.9524888396263123,0.8486575484275818,0.6115735173225403,0.7513769865036011,0.0803876742720604
0.2554627060890198,0.023834358900785446,0.4149056673049927,0.9067379832267761,0.9849207401275635,0.6355119347572327,0.6276005506515503,0.07776353508234024,0.9490726590156555
0.24605682492256165,0.008754981681704521,0.758651852607727,0.8191797137260437,0.5413511991500854,0.49084970355033875,0.02937266230583191,0.9776270389556885,0.39344164729118347
0.5778510570526123,0.660815954208374,0.6335800886154175,0.804693341255188,0.9316089153289795,0.6451374888420105,0.24118852615356445,0.6312910318374634,0.6727005839347839
0.280119925737381,0.23599238693714142,0.32465580105781555,0.22665172815322876,0.3679921627044678,0.27004024386405945,0.6277737021446228,0.5673025846481323,0.42811262607574463
0.31346413493156433,0.09677111357450485,0.07539098709821701,0.06417336314916611,0.6686496138572693,0.43427303433418274,0.6186466217041016,0.1975833624601364,0.059117402881383896
0.45092079043388367,0.45659711956977844,0.6492915153503418,0.6465211510658264,0.015241718851029873,0.13275021314620972,0.8068808913230896,0.30964356660842896,0.6978527307510376
0.30645906925201416,0.05739947035908699,0.6054400205612183,0.6464292407035828,0.8259907960891724,0.6248166561126709,0.8633630275726318,0.22246740758419037,0.4370308518409729
0.7463981509208679,0.8330197334289551,0.806887686252594,0.49910253286361694,0.4581121802330017,0.006813998334109783,0.6718270182609558,0.07805279642343521,0.11135254055261612
0.1300220489501953,0.3159557580947876,0.8363888263702393,0.4829958379268646,0.6694091558456421,0.2742878198623657,0.7955155372619629,0.8505933880805969,0.5523893237113953
0.2845984697341919,0.17342780530452728,0.7142890095710754,0.11695149540901184,0.02538621611893177,0.8167542219161987,0.8868187069892883,0.27601900696754456,0.8381646275520325
0.19686710834503174,0.14988546073436737,0.900806725025177,0.05050310865044594,0.3649574816226959,0.6514663696289062,0.2911808490753174,0.9357748627662659,0.05039256066083908
0.6457828879356384,0.12640215456485748,0.207111656665802,0.4936048090457916,0.8696858286857605,0.9932148456573486,0.764167308807373,0.43774157762527466,0.8797779679298401
0.834044337272644,0.25071805715560913,0.5908964276313782,0.29505500197410583,0.574608564376831,0.3066277503967285,0.07309592515230179,0.23016314208507538,0.1260422021150589
0.6159681081771851,0.7092645764350891,0.7916163802146912,0.7249955534934998,0.5457846522331238,0.75944584608078,0.01219162531197071,0.38490432500839233,0.9664900898933411
0.30803969502449036,0.4752766191959381,0.4583381712436676,0.21224358677864075,0.4112081527709961,0.8079577088356018,0.2795508801937103,0.5426684617996216,0.2598889470100403
0.8118343949317932,0.9697261452674866,0.5046510100364685,0.20094315707683563,0.010485190898180008,0.3880338668823242,0.2128782868385315,0.23672111332416534,0.8970928192138672
0.8532564043998718,0.0960642546415329,0.7676361799240112,0.9716789126396179,0.43959107995033264,0.9477471113204956,0.7097892761230469,0.5855852961540222,0.1453903317451477
0.9844564199447632,0.7118489146232605,0.2606413960456848,0.13729022443294525,0.11893884837627411,0.6603010892868042,0.7930331826210022,0.19376623630523682,0.30509769916534424
